ANT 28-4,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,OLD,NEW,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0,Unnamed: 38_level_0,Unnamed: 39_level_0,Unnamed: 40_level_0,Unnamed: 41_level_0,Unnamed: 42_level_0,Unnamed: 43_level_0,Unnamed: 44_level_0,Unnamed: 45_level_0,Unnamed: 46_level_0,Unnamed: 47_level_0,Unnamed: 48_level_0,Unnamed: 49_level_0,Unnamed: 50_level_0,Unnamed: 51_level_0,Unnamed: 52_level_0,Unnamed: 53_level_0,Unnamed: 54_level_0,Unnamed: 55_level_0,Unnamed: 56_level_0,Unnamed: 57_level_0,Unnamed: 58_level_0,Unnamed: 59_level_0,Unnamed: 60_level_0,Unnamed: 61_level_0,Unnamed: 62_level_0,Unnamed: 63_level_0,Unnamed: 64_level_0,Unnamed: 65_level_0,Unnamed: 66_level_0,Unnamed: 67_level_0,Unnamed: 68_level_0,Unnamed: 69_level_0,Unnamed: 70_level_0,Unnamed: 71_level_0,Unnamed: 72_level_0,Unnamed: 73_level_0
,69.0,61.0,,51.0,,,,77.0,25.0,8.0,,66.0,70.0,,63.0,40.0,33.0,40.0,87.0,,71.0,0.0,,,44.0,34.0,,,,,4.0,5.0,,,64.0,87.0,,10.0,,,,50.0,23.0,59.0,,,45.0,,14.0,24.0,,45.0,4.0,,44.0,36.0,,,,57.0,78.0,77.0,16.0,20.0,68.0,58.0,88.0,2.0,43.0,,58.0,51.0,88.0
53.0,,44.0,63.0,18.0,12.0,44.0,72.0,,,,16.0,41.0,,52.0,,9.0,51.0,54.0,22.0,73.0,4.0,,,51.0,,,96.0,,15.0,,,,72.0,,,,,51.0,,,,97.0,,77.0,,,9.0,80.0,,85.0,,,79.0,,,25.0,74.0,,,52.0,,46.0,66.0,,,13.0,5.0,,10.0,,,89.0,
54.0,65.0,30.0,18.0,70.0,19.0,,12.0,,,,28.0,97.0,,92.0,,62.0,,76.0,,,,1.0,,72.0,,,,,72.0,,30.0,,10.0,23.0,3.0,,9.0,,2.0,10.0,,23.0,85.0,,,81.0,,,,17.0,44.0,84.0,38.0,43.0,14.0,,91.0,,,57.0,15.0,,,2.0,,57.0,,,,20.0,30.0,79.0,
,27.0,,,8.0,,8.0,,90.0,,,,39.0,,99.0,,,96.0,,94.0,58.0,86.0,,,,82.0,84.0,92.0,,59.0,23.0,20.0,,3.0,,,77.0,,,,52.0,35.0,5.0,25.0,,,,,,32.0,,37.0,91.0,,66.0,,,66.0,,19.0,,92.0,87.0,,26.0,,6.0,,,,,,84.0,97.0
98.0,75.0,27.0,,,,94.0,,,,19.0,,11.0,,5.0,82.0,34.0,82.0,,,41.0,2.0,77.0,71.0,,,,,24.0,56.0,32.0,57.0,33.0,2.0,,,12.0,,93.0,,,6.0,,84.0,95.0,45.0,21.0,32.0,59.0,63.0,33.0,76.0,,61.0,,,,76.0,,28.0,,,90.0,,,,,,,25.0,,26.0,,48.0
34.0,19.0,57.0,,,,,3.0,,89.0,25.0,4.0,39.0,84.0,,,,43.0,18.0,30.0,35.0,28.0,,84.0,,1.0,,,96.0,6.0,97.0,72.0,0.0,,11.0,26.0,,,74.0,,,,,58.0,,,27.0,6.0,,10.0,,,,17.0,,,,20.0,58.0,,,46.0,60.0,50.0,9.0,50.0,48.0,17.0,,15.0,21.0,,,15.0
77.0,51.0,83.0,,,,,,30.0,,,94.0,,97.0,,57.0,39.0,17.0,,,,,,,,,42.0,35.0,,57.0,87.0,40.0,52.0,3.0,,25.0,51.0,68.0,,7.0,,,,57.0,,97.0,,,50.0,29.0,37.0,,81.0,64.0,,,79.0,82.0,,48.0,89.0,,24.0,47.0,,2.0,,45.0,,,80.0,17.0,,10.0
91.0,,,,96.0,,76.0,22.0,,37.0,,8.0,,83.0,1.0,,53.0,2.0,,6.0,,,,,37.0,,10.0,,34.0,25.0,,35.0,,,,,,,,55.0,53.0,16.0,51.0,57.0,,,90.0,,,91.0,45.0,,,,,,76.0,,,,,71.0,40.0,,,58.0,,,,75.0,,,19.0,10.0
,,19.0,,73.0,,68.0,60.0,,23.0,,,,52.0,,,19.0,,10.0,47.0,,95.0,92.0,,,19.0,,47.0,,40.0,,61.0,48.0,92.0,51.0,,,19.0,41.0,,59.0,62.0,,,67.0,34.0,,,,3.0,,,15.0,,89.0,,83.0,84.0,,44.0,77.0,19.0,55.0,,,,,,36.0,59.0,,98.0,42.0,
,,82.0,34.0,,65.0,,,92.0,21.0,77.0,69.0,6.0,,,,16.0,89.0,58.0,,,40.0,60.0,,68.0,67.0,,,,,,53.0,82.0,37.0,88.0,,32.0,52.0,,49.0,28.0,,91.0,76.0,,76.0,,23.0,41.0,,76.0,13.0,26.0,93.0,,,62.0,15.0,87.0,,34.0,76.0,63.0,,80.0,,49.0,13.0,58.0,69.0,,,,
49.0,42.0,96.0,,,79.0,,,58.0,,,,59.0,79.0,,,,,90.0,,78.0,20.0,,,,,98.0,,64.0,,41.0,12.0,64.0,,,38.0,70.0,69.0,,,57.0,,,,,23.0,76.0,27.0,,16.0,51.0,,54.0,,,,88.0,77.0,67.0,,,74.0,,10.0,78.0,,,52.0,,53.0,67.0,,62.0,97.0
47.0,,24.0,60.0,72.0,30.0,33.0,72.0,80.0,,37.0,,22.0,,18.0,,,62.0,15.0,,97.0,,,,76.0,36.0,0.0,37.0,12.0,67.0,,,1.0,,,72.0,67.0,44.0,,60.0,48.0,,68.0,,,98.0,18.0,,,,25.0,,81.0,14.0,23.0,54.0,,97.0,,78.0,54.0,,,74.0,93.0,51.0,23.0,34.0,,36.0,86.0,64.0,79.0,42.0
,96.0,,,81.0,59.0,67.0,85.0,,71.0,,,,42.0,40.0,,,,1.0,11.0,,,,,20.0,,,40.0,13.0,,36.0,,,32.0,46.0,,92.0,54.0,91.0,64.0,,,61.0,,,,,15.0,,28.0,20.0,5.0,,70.0,,19.0,76.0,,42.0,,,4.0,29.0,,,,,31.0,11.0,,,74.0,46.0,11.0
,59.0,,,72.0,,9.0,,,84.0,,,36.0,,24.0,92.0,5.0,27.0,,,,,,,98.0,61.0,33.0,7.0,,27.0,2.0,,85.0,86.0,89.0,,93.0,32.0,54.0,78.0,20.0,,,42.0,,,86.0,88.0,,,,0.0,,1.0,,42.0,,92.0,43.0,,,36.0,,38.0,53.0,,,93.0,98.0,55.0,,72.0,43.0,
42.0,,21.0,,,,,,,,,,98.0,,,22.0,27.0,,45.0,,,47.0,89.0,18.0,42.0,,87.0,,62.0,,59.0,,,,,57.0,38.0,,74.0,70.0,72.0,,,,,,89.0,28.0,,,,67.0,52.0,,,35.0,38.0,,,13.0,,,,,61.0,79.0,,96.0,,,,,38.0,10.0
35.0,58.0,69.0,25.0,,62.0,0.0,55.0,85.0,43.0,,,,27.0,19.0,,,18.0,,,,,,,51.0,94.0,72.0,83.0,,58.0,,63.0,,39.0,,59.0,,,,,,,38.0,,63.0,91.0,,,,,,,,69.0,44.0,,34.0,22.0,40.0,,,,98.0,81.0,,,,18.0,72.0,,84.0,,96.0,
,99.0,48.0,,8.0,,80.0,,,,16.0,,,85.0,68.0,29.0,60.0,50.0,83.0,26.0,,59.0,22.0,46.0,8.0,,,10.0,,,,84.0,,83.0,,,14.0,54.0,71.0,5.0,,,,48.0,76.0,,8.0,,83.0,6.0,9.0,,,,75.0,51.0,,,,,,,6.0,,,16.0,,,17.0,52.0,51.0,66.0,,
,,,,9.0,23.0,,,,64.0,92.0,,72.0,97.0,,,,53.0,,,,15.0,,20.0,,53.0,,54.0,,67.0,62.0,,,,,,,,,,17.0,,68.0,83.0,55.0,88.0,22.0,15.0,,,1.0,42.0,,,85.0,78.0,,58.0,18.0,,55.0,31.0,40.0,16.0,7.0,,81.0,12.0,,76.0,,,84.0,55.0
82.0,,85.0,,83.0,,9.0,96.0,91.0,81.0,,5.0,65.0,45.0,90.0,30.0,,,,,85.0,80.0,,,23.0,24.0,99.0,,,33.0,,79.0,,,,66.0,23.0,75.0,,,,81.0,,,87.0,44.0,,58.0,,46.0,,52.0,60.0,,64.0,45.0,80.0,85.0,,57.0,26.0,79.0,63.0,16.0,,,44.0,2.0,18.0,,,,5.0,
,30.0,,85.0,70.0,,79.0,,,97.0,,42.0,,84.0,15.0,11.0,56.0,71.0,4.0,,61.0,5.0,64.0,8.0,,42.0,63.0,40.0,4.0,,62.0,74.0,69.0,,61.0,66.0,49.0,41.0,39.0,56.0,64.0,81.0,76.0,46.0,,,,,,45.0,,,86.0,71.0,,,69.0,81.0,,,57.0,,,,,49.0,94.0,0.0,25.0,18.0,,58.0,,
,,45.0,72.0,,,66.0,,,,,,,38.0,76.0,60.0,,4.0,53.0,49.0,51.0,,23.0,0.0,68.0,,,,,61.0,,19.0,86.0,,,9.0,,,0.0,43.0,,62.0,91.0,62.0,,,86.0,53.0,,53.0,,,,27.0,79.0,52.0,99.0,90.0,,93.0,38.0,,31.0,,,18.0,,55.0,,,,,9.0,
71.0,,24.0,,89.0,82.0,75.0,,89.0,,65.0,,,,,,,,30.0,,,,,,,,75.0,,,22.0,,48.0,2.0,,,,,68.0,29.0,,14.0,,,,,11.0,3.0,24.0,87.0,,,,,55.0,19.0,15.0,83.0,91.0,,20.0,45.0,,54.0,46.0,98.0,45.0,41.0,90.0,5.0,,77.0,,,
28.0,20.0,75.0,,79.0,,20.0,66.0,,34.0,,,24.0,,89.0,63.0,42.0,1.0,,37.0,84.0,96.0,93.0,,,98.0,6.0,,93.0,,31.0,58.0,43.0,,42.0,,78.0,,,,,,74.0,,76.0,,,,,24.0,,74.0,60.0,,67.0,1.0,18.0,34.0,,,,,20.0,,,,,10.0,,,52.0,15.0,,82.0
27.0,,97.0,58.0,,82.0,,37.0,6.0,52.0,33.0,,95.0,,13.0,,58.0,5.0,58.0,39.0,3.0,94.0,,87.0,,,39.0,33.0,29.0,,18.0,12.0,85.0,68.0,7.0,24.0,,46.0,8.0,2.0,88.0,,,22.0,,3.0,,84.0,23.0,,,,50.0,,,24.0,,68.0,82.0,99.0,82.0,23.0,48.0,,,,45.0,,23.0,,95.0,98.0,,
23.0,,13.0,,,13.0,32.0,58.0,79.0,51.0,64.0,95.0,95.0,,,,96.0,,,,60.0,45.0,,24.0,,,,1.0,,,,,12.0,41.0,2.0,75.0,87.0,,,,20.0,,,17.0,91.0,21.0,,,,,,12.0,0.0,,,87.0,,22.0,,93.0,62.0,4.0,,,76.0,63.0,,90.0,,46.0,,75.0,,90.0
,,,61.0,,34.0,55.0,,90.0,,,,,33.0,39.0,,95.0,99.0,,21.0,,53.0,,22.0,74.0,,,65.0,31.0,89.0,92.0,0.0,,,34.0,,,,0.0,,19.0,,36.0,20.0,7.0,71.0,63.0,,71.0,,39.0,,0.0,,,,59.0,,84.0,,37.0,68.0,59.0,,,,,,,76.0,,97.0,49.0,
11.0,,5.0,42.0,,59.0,,,,,16.0,43.0,,,,95.0,,,,,,,,12.0,62.0,46.0,52.0,10.0,,24.0,84.0,,,,87.0,51.0,22.0,,,13.0,,,10.0,,79.0,3.0,,,,,70.0,71.0,80.0,3.0,,,56.0,69.0,13.0,51.0,60.0,,,3.0,76.0,27.0,61.0,83.0,,,48.0,,0.0,
60.0,58.0,9.0,21.0,24.0,76.0,,,,,,,73.0,61.0,34.0,,,,93.0,61.0,,20.0,67.0,90.0,,65.0,,,,44.0,,92.0,64.0,13.0,9.0,,93.0,,57.0,37.0,21.0,25.0,98.0,,22.0,44.0,,22.0,48.0,2.0,,14.0,39.0,38.0,70.0,,23.0,,,97.0,92.0,,,,,,,,54.0,21.0,,,,41.0
,18.0,,,16.0,70.0,,,,98.0,54.0,58.0,,97.0,,22.0,,,,,,,,,,,96.0,54.0,,,,,49.0,,,41.0,15.0,,,15.0,,,,,,,,,,,78.0,99.0,11.0,30.0,21.0,36.0,43.0,24.0,,,,28.0,,53.0,89.0,53.0,14.0,18.0,,51.0,,99.0,89.0,
,,,,39.0,,,,53.0,36.0,89.0,,,10.0,16.0,88.0,,21.0,42.0,65.0,63.0,97.0,66.0,67.0,,,,,95.0,,46.0,35.0,48.0,,17.0,85.0,,,,36.0,,34.0,37.0,,,44.0,,,98.0,,72.0,24.0,18.0,,24.0,,60.0,22.0,87.0,,7.0,,92.0,,,,,,,,,,,49.0
,35.0,,51.0,,,,,25.0,35.0,59.0,,,,,38.0,3.0,41.0,98.0,,61.0,,72.0,64.0,,,,,81.0,,,34.0,45.0,,15.0,,,,,,59.0,7.0,,,44.0,,,68.0,53.0,29.0,,11.0,49.0,,18.0,,,87.0,,,,,32.0,75.0,,11.0,32.0,,,,,1.0,31.0,70.0
,36.0,,,,,7.0,,,,15.0,,,,40.0,,,73.0,77.0,68.0,22.0,8.0,11.0,,55.0,,,21.0,,,69.0,,72.0,71.0,,,,17.0,,56.0,65.0,,34.0,44.0,39.0,,,,98.0,99.0,97.0,,47.0,85.0,,43.0,5.0,98.0,,99.0,,12.0,,11.0,31.0,,,79.0,12.0,40.0,,69.0,94.0,
81.0,27.0,27.0,51.0,72.0,,78.0,,30.0,59.0,14.0,,,29.0,26.0,,,,,,,5.0,,,41.0,,,,,51.0,9.0,18.0,,10.0,46.0,,,,,62.0,82.0,,,,0.0,26.0,,,56.0,,76.0,7.0,59.0,,22.0,4.0,96.0,11.0,56.0,67.0,49.0,69.0,,,16.0,74.0,,,46.0,81.0,17.0,40.0,,
26.0,33.0,,99.0,65.0,69.0,,58.0,,,99.0,,,,63.0,,,,4.0,19.0,,72.0,7.0,91.0,7.0,22.0,,,,54.0,,77.0,58.0,,,89.0,,,,60.0,66.0,,,,,19.0,,,86.0,78.0,72.0,48.0,99.0,50.0,74.0,19.0,25.0,,21.0,,46.0,40.0,70.0,,36.0,73.0,,,0.0,,76.0,87.0,,
,54.0,1.0,29.0,93.0,66.0,,,62.0,17.0,14.0,64.0,,,7.0,72.0,93.0,63.0,,,95.0,98.0,,,,63.0,,29.0,53.0,,,23.0,43.0,,23.0,12.0,,,29.0,,95.0,,35.0,,,84.0,88.0,,,48.0,,78.0,,6.0,,,,,,,23.0,,19.0,13.0,,65.0,,34.0,28.0,,73.0,,34.0,
,50.0,,,94.0,84.0,69.0,11.0,53.0,,56.0,,,,39.0,,38.0,80.0,,18.0,,25.0,66.0,78.0,61.0,,15.0,12.0,76.0,93.0,93.0,23.0,65.0,91.0,17.0,,,,31.0,72.0,,,,92.0,,,67.0,73.0,28.0,,10.0,,,41.0,,14.0,,,,,82.0,67.0,,,67.0,,0.0,3.0,57.0,,,36.0,20.0,
97.0,,,,74.0,,43.0,,,36.0,57.0,,96.0,28.0,55.0,,,,,,,,71.0,,50.0,,78.0,,,49.0,56.0,74.0,,,98.0,,10.0,,,,,46.0,,,57.0,55.0,17.0,,95.0,,,,,,,,36.0,,64.0,,,45.0,,,64.0,67.0,,,66.0,51.0,26.0,51.0,,
72.0,53.0,82.0,88.0,50.0,,79.0,18.0,90.0,79.0,,50.0,51.0,,,,,,80.0,,,18.0,,75.0,61.0,,,,62.0,,,77.0,,85.0,,,,,14.0,,,90.0,,63.0,,26.0,,54.0,73.0,,90.0,,37.0,,74.0,,98.0,5.0,,,,,,,56.0,,31.0,,,,,87.0,,
68.0,,,49.0,35.0,41.0,,,14.0,,,,67.0,1.0,,,36.0,,62.0,62.0,,34.0,10.0,60.0,,14.0,12.0,19.0,20.0,,4.0,,19.0,,,,85.0,55.0,64.0,,91.0,,,,47.0,,31.0,,,67.0,,42.0,,,,2.0,,,,81.0,57.0,37.0,95.0,43.0,,33.0,,,,,,,1.0,92.0
29.0,68.0,69.0,,49.0,78.0,,56.0,,58.0,,,,,25.0,,,15.0,78.0,66.0,4.0,67.0,,,41.0,,13.0,,,70.0,7.0,,,,,,,,84.0,78.0,,9.0,,,,,76.0,,,,,87.0,27.0,73.0,,26.0,,37.0,,,0.0,25.0,87.0,,,10.0,96.0,14.0,,,,,,
89.0,64.0,38.0,,27.0,51.0,62.0,,,80.0,59.0,6.0,,94.0,60.0,54.0,42.0,,,32.0,4.0,15.0,91.0,,,34.0,,,73.0,45.0,65.0,51.0,83.0,,,15.0,,18.0,74.0,70.0,,,15.0,77.0,,4.0,13.0,,,33.0,,4.0,,8.0,,69.0,88.0,93.0,,31.0,47.0,5.0,39.0,,73.0,,43.0,,,38.0,8.0,,13.0,62.0
,,,,,,2.0,,,,32.0,3.0,,98.0,79.0,,,81.0,1.0,,,,77.0,,,,7.0,10.0,21.0,99.0,71.0,,45.0,29.0,43.0,92.0,,12.0,,2.0,,,16.0,,48.0,,,87.0,5.0,25.0,93.0,,,8.0,51.0,,,34.0,61.0,6.0,,75.0,89.0,,58.0,,26.0,,,86.0,,,,70.0
,46.0,,86.0,99.0,,,,82.0,,50.0,,33.0,,,,,,74.0,59.0,73.0,,,55.0,91.0,47.0,98.0,57.0,60.0,,24.0,94.0,,,3.0,,50.0,,35.0,69.0,,,80.0,,36.0,,51.0,48.0,,,,52.0,87.0,54.0,34.0,,,,10.0,22.0,,70.0,,,81.0,,44.0,,82.0,,85.0,76.0,31.0,37.0
,15.0,,,3.0,56.0,13.0,54.0,3.0,,40.0,,30.0,13.0,,51.0,6.0,99.0,97.0,60.0,,88.0,37.0,,,29.0,,78.0,2.0,,9.0,,2.0,,,,,95.0,,56.0,,,,,0.0,,81.0,,,,21.0,,,59.0,10.0,,58.0,,22.0,,14.0,,,32.0,98.0,13.0,,65.0,55.0,,,96.0,59.0,61.0
,98.0,75.0,,,,42.0,,,,,,,34.0,,,,,,2.0,46.0,,,85.0,87.0,,,,,68.0,,,,50.0,70.0,99.0,,20.0,,69.0,48.0,,,24.0,21.0,,,27.0,,,,95.0,8.0,33.0,,27.0,,,21.0,,,87.0,12.0,5.0,,92.0,36.0,,,,,36.0,39.0,26.0
9.0,85.0,76.0,,,81.0,35.0,,61.0,,47.0,74.0,69.0,,,57.0,35.0,,4.0,,,,,72.0,97.0,,13.0,16.0,,,87.0,,,63.0,68.0,,,,,66.0,,,93.0,,41.0,20.0,6.0,,69.0,42.0,,77.0,91.0,,36.0,,12.0,71.0,44.0,,17.0,72.0,,,32.0,3.0,94.0,5.0,82.0,,5.0,99.0,,
,,59.0,70.0,78.0,,,,57.0,71.0,81.0,,92.0,,,57.0,58.0,36.0,,37.0,,,70.0,79.0,,,,,,,87.0,58.0,82.0,70.0,,,,,,,,35.0,23.0,4.0,,43.0,,45.0,,29.0,,48.0,,11.0,,,,82.0,19.0,97.0,73.0,48.0,,26.0,67.0,,,63.0,,,,,3.0,54.0
99.0,,25.0,0.0,,95.0,74.0,42.0,,,,,,,,,,,,,25.0,,,,,7.0,,93.0,,78.0,8.0,,,,,7.0,,5.0,62.0,,25.0,,,25.0,,86.0,,,,70.0,,9.0,,,39.0,32.0,61.0,63.0,63.0,8.0,,,,25.0,42.0,,18.0,37.0,54.0,,,10.0,,
